4-Opponent Starting Hand Analysis

Rank,Opponents,Faces,Type,Card1,Card2,Hash,Label,WinOrDraw,Lose,Total,CoinFlip,WinOrDrawPercent,CoinFlipDeltaPercent
1,4,AA,pair,12,25,649,As Ah,26956401372994914,20997674808016086,47954076181011000,9590815236202200,56.21,36.21
2,4,KK,pair,11,24,596,Ks Kh,24046054835726850,23908021345284150,47954076181011000,9590815236202200,50.14,30.14
3,4,QQ,pair,10,23,543,Qs Qh,21644703151916652,26309373029094348,47954076181011000,9590815236202200,45.13,25.13
4,4,JJ,pair,9,22,490,Js Jh,19528938430973016,28425137750037984,47954076181011000,9590815236202200,40.72,20.72
5,4,TT,pair,8,21,437,Ts Th,17671884459604710,30282191721406290,47954076181011000,9590815236202200,36.85,16.85
6,4,AK,suited,11,12,584,Ks As,17500617759495879,30453458421515121,47954076181011000,9590815236202200,36.49,16.49
7,4,AQ,suited,10,12,532,Qs As,16756545358267380,31197530822743620,47954076181011000,9590815236202200,34.94,14.94
8,4,KQ,suited,10,11,531,Qs Ks,16150582117506456,31803494063504544,47954076181011000,9590815236202200,33.67,13.67
9,4,AJ,suited,9,12,480,Js As,16135697705498745,31818378475512255,47954076181011000,9590815236202200,33.64,13.64
10,4,AK,offsuit,11,25,597,Ks Ah,16036730279815320,31917345901195680,47954076181011000,9590815236202200,33.44,13.44
11,4,99,pair,7,20,384,9s 9h,15860490002092296,32093586178918704,47954076181011000,9590815236202200,33.07,13.07
12,4,AT,suited,8,12,428,Ts As,15617628459235131,32336447721775869,47954076181011000,9590815236202200,32.56,12.56
13,4,KJ,suited,9,11,479,Js Ks,15540014531028816,32414061649982184,47954076181011000,9590815236202200,32.4,12.4
14,4,AQ,offsuit,10,25,545,Qs Ah,15221608749509046,32732467431501954,47954076181011000,9590815236202200,31.74,11.74
15,4,QJ,suited,9,10,478,Js Qs,15127219551837192,32826856629173808,47954076181011000,9590815236202200,31.54,11.54
16,4,KT,suited,8,11,427,Ts Ks,15037173207871773,32916902973139227,47954076181011000,9590815236202200,31.35,11.35
17,4,KQ,offsuit,10,24,544,Qs Kh,14636790291998793,33317285889012207,47954076181011000,9590815236202200,30.52,10.52
18,4,QT,suited,8,10,426,Ts Qs,14636545674028542,33317530506982458,47954076181011000,9590815236202200,30.52,10.52
19,4,AJ,offsuit,9,25,493,Js Ah,14539453329008703,33414622852002297,47954076181011000,9590815236202200,30.31,10.31
20,4,JT,suited,8,9,425,Ts Js,14443068270451269,33511007910559731,47954076181011000,9590815236202200,30.11,10.11
21,4,A9,suited,7,12,376,9s As,14375614052086809,33578462128924191,47954076181011000,9590815236202200,29.97,9.97
22,4,88,pair,6,19,331,8s 8h,14367285752704608,33586790428306392,47954076181011000,9590815236202200,29.96,9.96
23,4,A8,suited,6,12,324,8s As,13978877913274803,33975198267736197,47954076181011000,9590815236202200,29.15,9.15
24,4,AT,offsuit,8,25,441,Ts Ah,13968809079697740,33985267101313260,47954076181011000,9590815236202200,29.12,9.12
25,4,KJ,offsuit,9,24,492,Js Kh,13965778627492620,33988297553518380,47954076181011000,9590815236202200,29.12,9.12
26,4,K9,suited,7,11,375,9s Ks,13776377649344871,34177698531666129,47954076181011000,9590815236202200,28.72,8.72
27,4,QJ,offsuit,9,23,491,Js Qh,13584015452703909,34370060728307091,47954076181011000,9590815236202200,28.32,8.32
28,4,A7,suited,5,12,272,7s As,13573586512843917,34380489668167083,47954076181011000,9590815236202200,28.3,8.3
29,4,A5,suited,3,12,168,5s As,13456668489185724,34497407691825276,47954076181011000,9590815236202200,28.06,8.06
30,4,KT,offsuit,8,24,440,Ts Kh,13411299510031959,34542776670979041,47954076181011000,9590815236202200,27.96,7.96
31,4,Q9,suited,7,10,374,9s Qs,13380729040335891,34573347140675109,47954076181011000,9590815236202200,27.9,7.9
32,4,J9,suited,7,9,373,9s Js,13200058950500190,34754017230510810,47954076181011000,9590815236202200,27.52,7.52
33,4,T9,suited,7,8,372,9s Ts,13181456121223614,34772620059787386,47954076181011000,9590815236202200,27.48,7.48
34,4,A6,suited,4,12,220,6s As,13142150017806246,34811926163204754,47954076181011000,9590815236202200,27.4,7.4
35,4,A4,suited,2,12,116,4s As,13132938379433790,34821137801577210,47954076181011000,9590815236202200,27.38,7.38
36,4,77,pair,5,18,278,7s 7h,13078003626151386,34876072554859614,47954076181011000,9590815236202200,27.27,7.27
37,4,QT,offsuit,8,23,439,Ts Qh,13042632820548228,34911443360462772,47954076181011000,9590815236202200,27.19,7.19
38,4,JT,offsuit,8,22,438,Ts Jh,12886812225787656,35067263955223344,47954076181011000,9590815236202200,26.87,6.87
39,4,K8,suited,6,11,323,8s Ks,12849629528469003,35104446652541997,47954076181011000,9590815236202200,26.79,6.79
40,4,A3,suited,1,12,64,3s As,12811130766333345,35142945414677655,47954076181011000,9590815236202200,26.71,6.71
41,4,A9,offsuit,7,25,389,9s Ah,12619862836411530,35334213344599470,47954076181011000,9590815236202200,26.31,6.31
42,4,K7,suited,5,11,271,7s Ks,12534273618885834,35419802562125166,47954076181011000,9590815236202200,26.13,6.13
43,4,A2,suited,0,12,12,2s As,12455090236754985,35498985944256015,47954076181011000,9590815236202200,25.97,5.97
44,4,Q8,suited,6,10,322,8s Qs,12443481246687543,35510594934323457,47954076181011000,9590815236202200,25.94,5.94
